Flight Data File,,,,,,,,,,,,,,,,
Test ID (TID),42,,,,,,,,,,,,,,,
Vehicle ID (VID),QC16a,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,modeNumber,acc1,acc2,acc3,angRate1,angRate2,angRate3,batteryVolts,motorCmds1,motorCmds2,motorCmds3,motorCmds4,pos1,pos2,pos3,isBallFlag
2017::124:12:45:08.00,3,0.64345,0.76416,0.17992,-0.00054859,0.0013551,0.0015487,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.10,4,-0.96143,-1.7509,-0.27513,-0.0016139,0.0002898,-0.0016471,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.20,4,-0.79825,-0.33914,0.93436,-0.0026791,0.0002898,0.00048341,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.30,4,-0.93179,-0.12736,-0.014079,-0.014397,-0.012493,-0.013365,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.40,4,-0.61373,1.0363,-0.34938,-0.0026791,-0.00077546,-0.00058185,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.50,4,-0.55657,0.46045,0.026632,0.0015819,0.0013551,0.0036792,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.60,4,0.093599,0.27586,0.47928,0.00051667,0.0013551,0.0036792,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.70,4,-0.15033,-0.92695,-0.12905,-0.00054859,-0.00077546,0.0026139,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.80,4,0.27232,0.38645,0.36432,-0.0058749,-0.0039713,-0.0069734,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:08.90,4,1.0384,1.124,0.95589,0.0069083,0.0077467,0.0079403,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:09.00,5,0.11589,-0.085984,0.46491,-0.00054859,0.0002898,0.00048341,4,200,200,200,200,0.62133,0.00227,-0.2127,1
2017::124:12:45:09.10,6,-0.063264,-1.035,-0.30868,-0.0026791,-0.0050365,-0.0016471,4,793.97,793.5,796.73,792.77,0.62133,0.0022759,-0.20786,1
2017::124:12:45:09.20,6,-0.78521,-0.52533,-8.0542,-0.023984,0.0034856,-0.0027124,4,573.71,571.49,574.56,571.25,0.62133,0.0023347,-0.1546,1
2017::124:12:45:09.30,6,-0.50085,-0.041603,0.79539,-0.075117,0.0056161,-0.013365,4,554.66,534.7,554.37,535.76,0.62162,0.002383,-0.09898,1
